City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yoichi,JP,43.2039,140.7703,32.0,86,75,23.02,light snow
80,Santa Barbara,US,34.7333,-120.0343,46.99,93,75,1.01,broken clouds
81,Cherskiy,RU,68.75,161.3,-33.59,83,6,2.84,clear sky
82,Maniitsoq,GL,65.4167,-52.9,19.78,76,0,4.85,clear sky
83,Mahebourg,MU,-20.4081,57.7,78.8,89,40,8.05,scattered clouds
84,Claudio,BR,-20.4433,-44.7658,65.91,85,100,2.26,overcast clouds
85,Bajmok,RS,45.9688,19.4243,40.6,91,100,7.14,overcast clouds
86,Sulangan,PH,11.1373,123.7228,79.56,80,87,29.06,overcast clouds
87,Carnarvon,AU,-24.8667,113.6333,105.8,21,0,18.41,clear sky
88,Bluff,NZ,-46.6,168.3333,54.3,72,0,14.85,clear sky
89,Batsfjord,NO,70.6345,29.7185,22.23,95,100,11.72,overcast clouds
90,Salalah,OM,17.0151,54.0924,69.8,64,75,4.61,broken clouds
91,Nacala,MZ,-14.5428,40.6728,77.05,90,99,4.12,light rain
92,Acapulco,MX,16.8634,-99.8901,80.6,83,90,5.75,overcast clouds
93,Thompson,CA,55.7435,-97.8558,10.4,85,90,4.61,light snow
94,Lompoc,US,34.6391,-120.4579,44.6,100,1,2.55,clear sky
95,Gorontalo,ID,0.5412,123.0595,85.24,69,51,4.65,broken clouds
96,Ponta Do Sol,PT,32.6667,-17.1,57.99,76,11,1.99,few clouds
97,Lagdo,CM,9.05,13.7333,68.13,22,0,2.24,clear sky
98,Chirala,IN,15.8167,80.35,75.29,76,78,3.96,broken clouds
99,Tautira,PF,-17.7333,-149.15,82.4,69,75,13.8,broken clouds
100,Khandyga,RU,62.6667,135.6,-45.0,75,87,1.12,overcast clouds
101,Puerto Penasco,MX,31.3167,-113.5333,59.0,77,38,1.01,scattered clouds
102,Morden,CA,49.1919,-98.1014,21.2,79,100,13.8,overcast clouds
103,Coihaique,CL,-45.5752,-72.0662,46.4,76,0,2.3,clear sky
104,Sistranda,NO,63.7256,8.834,35.6,75,40,19.57,scattered clouds
105,Monrovia,LR,6.3005,-10.7969,78.46,87,3,5.12,clear sky
106,River Falls,US,44.8614,-92.6238,24.01,66,100,1.01,overcast clouds
107,Dwarka,IN,22.2394,68.9678,66.42,40,2,12.44,clear sky
108,Iqaluit,CA,63.7506,-68.5145,-13.0,70,1,27.63,snow
109,Nanortalik,GL,60.1432,-45.2371,31.75,92,96,8.03,overcast clouds
110,Bumba,CD,2.1833,22.4667,70.97,92,76,1.63,broken clouds
111,Lala,PH,7.9745,123.7458,85.62,59,91,10.02,overcast clouds
112,Arlit,NE,18.7369,7.3853,55.11,33,0,2.15,clear sky
113,Dekar,BW,-21.5333,21.9333,67.44,88,85,3.56,overcast clouds
114,Ancud,CL,-41.8697,-73.8203,54.0,71,0,16.11,clear sky
115,Lodja,CD,-3.4833,23.4333,68.77,88,93,1.74,light rain
116,Ozernovskiy,RU,51.5,156.5167,19.35,91,100,14.03,overcast clouds
117,Arraial Do Cabo,BR,-22.9661,-42.0278,77.09,83,96,25.77,overcast clouds
118,Vila,PT,42.0304,-8.1588,48.99,95,95,11.41,overcast clouds
119,Severomuysk,RU,56.1481,113.4267,-30.62,83,0,3.56,clear sky
120,Westport,US,41.1415,-73.3579,17.6,45,1,12.66,clear sky
121,Arkhangelsk,RU,64.5401,40.5433,19.4,86,90,8.95,light snow
122,Alamosa,US,37.4695,-105.87,21.2,73,90,8.05,overcast clouds
123,Kuala Terengganu,MY,5.3302,103.1408,80.6,69,40,3.44,scattered clouds
124,Biltine,TD,14.5333,20.9167,66.7,25,0,19.86,clear sky
125,Engel-Yurt,RU,43.3289,46.3603,37.4,100,90,4.47,mist
126,Predivinsk,RU,57.0669,93.4378,-19.68,85,100,5.99,overcast clouds
127,Galle,LK,6.0367,80.217,78.46,81,20,1.72,few clouds
128,Lebu,CL,-37.6167,-73.65,56.07,91,67,5.06,broken clouds
129,Lulea,SE,65.5842,22.1547,3.2,92,90,11.5,overcast clouds
130,Nemuro,JP,43.3236,145.575,30.2,86,75,6.91,light rain and snow
131,Koungou,YT,-12.7336,45.2042,78.8,89,75,2.3,light rain
132,Hami,CN,42.8,93.45,26.47,80,0,1.41,clear sky
133,Victoria,HK,22.2855,114.1577,63.0,63,0,5.01,clear sky
134,Russell,US,32.3502,-85.1999,42.8,75,1,0.6,clear sky
135,Safranbolu,TR,41.2508,32.6942,31.62,85,100,3.8,overcast clouds
136,San Juan,AR,-31.5375,-68.5364,83.28,24,0,11.1,clear sky
137,Ewa Beach,US,21.3156,-158.0072,78.8,57,1,10.36,clear sky
138,La Asuncion,VE,11.0333,-63.8628,74.93,88,54,10.87,broken clouds
139,Hobart,AU,-42.8794,147.3294,72.0,60,75,11.5,broken clouds
140,Saldanha,ZA,-33.0117,17.9442,65.12,83,46,12.03,scattered clouds
141,Yar-Sale,RU,66.8333,70.8333,-39.05,82,25,3.87,scattered clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,67,1,2.3,clear sky
143,New Norfolk,AU,-42.7826,147.0587,72.0,60,75,11.5,broken clouds
144,Caruray,PH,10.3094,119.0128,86.0,62,20,23.02,few clouds
145,Rancho Palos Verdes,US,33.7445,-118.387,51.8,82,40,3.44,scattered clouds
146,Codrington,AU,-38.2667,141.9667,62.98,71,100,12.41,overcast clouds
147,Santiago,CL,-33.4569,-70.6483,63.0,94,90,2.3,overcast clouds
148,Matagami,CA,49.7502,-77.6328,-4.0,92,90,13.8,light snow
149,Prachuap Khiri Khan,TH,12.2167,99.75,80.6,65,95,4.61,overcast clouds
150,Emba,KZ,48.8264,58.1442,17.65,95,99,8.95,overcast clouds
151,Malakal,SS,9.5334,31.6605,71.89,19,0,8.55,clear sky
152,Bredasdorp,ZA,-34.5322,20.0403,61.0,91,93,4.03,overcast clouds
153,Hithadhoo,MV,-0.6,73.0833,81.63,76,98,11.92,light rain
154,Ribeira Grande,PT,38.5167,-28.7,61.07,82,91,25.21,overcast clouds
155,Parole,US,38.9796,-76.5305,30.2,51,90,11.5,overcast clouds
156,Luderitz,NA,-26.6481,15.1594,65.19,52,0,22.66,clear sky
157,Beringovskiy,RU,63.05,179.3167,-17.12,83,0,9.37,clear sky
158,Bilma,NE,18.6853,12.9164,59.16,30,26,7.36,scattered clouds
159,Burgeo,CA,47.6167,-57.6152,25.09,86,88,15.95,overcast clouds
160,Touros,BR,-5.1989,-35.4608,77.0,88,40,4.61,scattered clouds
161,Longyearbyen,SJ,78.2186,15.6401,-0.4,50,20,19.57,few clouds
162,Tignere,CM,7.3667,12.65,62.46,28,0,3.4,clear sky
163,Santa Maria,BR,-29.6842,-53.8069,75.2,83,0,9.22,clear sky
164,Klaksvik,FO,62.2266,-6.589,32.0,74,90,15.19,overcast clouds
165,Tevriz,RU,57.509,72.4042,-5.13,89,100,7.11,overcast clouds
166,Zhigansk,RU,66.7697,123.3711,-42.92,80,99,3.2,overcast clouds
167,Bandarbeyla,SO,9.4942,50.8122,72.37,75,22,11.12,few clouds
168,Nizwa,OM,22.9333,57.5333,53.08,64,0,2.17,clear sky
169,Qom,IR,34.6401,50.8764,44.62,80,47,3.33,scattered clouds
170,Koumac,NC,-20.5667,164.2833,80.67,73,65,8.3,broken clouds
171,Lata,PT,40.1629,-8.3327,57.99,100,100,10.0,overcast clouds
172,Meulaboh,ID,4.1363,96.1285,82.15,70,83,0.98,broken clouds
173,Souillac,MU,-20.5167,57.5167,78.8,89,40,8.05,scattered clouds
174,Norman Wells,CA,65.282,-126.8329,-34.6,74,40,2.3,scattered clouds
175,Virginia Beach,US,36.8529,-75.978,30.99,51,0,1.99,clear sky
176,Lyuban,BY,52.7985,28.0048,21.52,96,100,9.04,overcast clouds
177,Nishihara,JP,26.1842,127.7558,66.2,31,40,10.36,scattered clouds
178,Sao Filipe,CV,14.8961,-24.4956,74.64,55,97,9.78,overcast clouds
179,Voznesenskaya,RU,44.5527,41.0318,32.2,94,82,5.14,broken clouds
180,Kulhudhuffushi,MV,6.6221,73.07,80.69,69,0,9.24,clear sky
181,Adrar,MR,20.5022,-10.0711,62.69,27,0,10.8,clear sky
182,Kangaatsiaq,GL,68.3065,-53.4641,6.49,93,45,2.39,scattered clouds
183,Karratha,AU,-20.7377,116.8463,91.98,45,5,7.47,clear sky
184,Grand-Lahou,CI,5.1367,-5.0242,78.26,88,18,6.11,few clouds
185,Ketchikan,US,55.3422,-131.6461,35.6,80,90,6.91,light snow
186,Mar Del Plata,AR,-38.0023,-57.5575,66.99,88,77,8.86,mist
187,Qaqortoq,GL,60.7167,-46.0333,42.8,33,75,26.46,broken clouds
188,Auki,SB,-8.7676,160.7034,82.71,81,75,10.85,broken clouds
189,Moose Factory,CA,51.2585,-80.6094,-0.4,78,90,8.05,overcast clouds
190,Belmonte,BR,-15.8631,-38.8828,78.8,73,20,9.22,few clouds
191,Satellite Beach,US,28.1761,-80.5901,59.0,51,1,6.91,clear sky
192,Bahar,IR,34.9072,48.4414,34.0,90,59,5.37,broken clouds
193,Khatanga,RU,71.9667,102.5,-42.93,75,0,3.51,clear sky
194,Nchelenge,ZM,-9.3451,28.734,67.15,88,84,3.44,broken clouds
195,Hamilton,US,39.1834,-84.5333,28.0,63,75,5.75,broken clouds
196,Kaeo,NZ,-35.1,173.7833,71.01,64,50,8.01,scattered clouds
197,Lavrentiya,RU,65.5833,-171.0,-18.17,81,0,9.95,clear sky
198,Mineiros,BR,-17.5694,-52.5511,68.58,91,100,5.01,overcast clouds
199,Kapaa,US,22.0752,-159.319,75.2,78,40,16.11,light rain
200,Henties Bay,NA,-22.116,14.2845,66.99,82,30,5.61,scattered clouds
201,Lappeenranta,FI,61.0587,28.1887,28.0,92,100,9.42,snow
202,Airai,TL,-8.9266,125.4092,63.9,100,100,4.07,moderate rain
203,Yining,CN,29.0361,114.5636,49.17,61,100,0.87,overcast clouds
204,Oswego,US,43.4501,-76.1497,14.0,79,90,3.62,overcast clouds
205,Naze,JP,28.3667,129.4833,60.8,48,40,16.11,scattered clouds
206,Acaponeta,MX,22.4964,-105.3594,67.55,69,0,1.41,clear sky
207,Jamestown,US,42.097,-79.2353,19.0,73,90,13.8,light snow
208,Anadyr,RU,64.75,177.4833,-20.0,76,0,8.95,clear sky
209,Sabang,ID,5.8933,95.3214,81.39,79,84,24.16,broken clouds
210,Dicabisagan,PH,17.0818,122.4157,70.54,78,97,12.8,overcast clouds
211,Wajid,SO,3.8093,43.2471,65.84,75,0,14.18,clear sky
212,Callaway,US,30.153,-85.5699,45.0,87,1,3.44,clear sky
213,Torbay,CA,47.6666,-52.7314,28.0,93,90,20.71,light snow
214,Nouadhibou,MR,20.931,-17.0347,66.2,59,4,14.97,clear sky
215,Esso,RU,55.9333,158.7,8.71,88,97,3.85,overcast clouds
216,Yemelyanovo,RU,56.1681,92.6767,-5.8,71,40,17.9,snow
217,Patacamaya,BO,-17.2333,-67.9167,50.16,59,51,1.68,broken clouds
218,Yumen,CN,40.2833,97.2,26.62,68,0,21.23,clear sky
219,Beibei,CN,29.8256,106.4339,51.01,76,28,6.71,mist
220,Alyangula,AU,-13.8483,136.4192,87.8,70,40,8.05,scattered clouds
221,Gimli,CA,50.6336,-96.9907,17.6,79,100,9.22,overcast clouds
222,Pangnirtung,CA,66.1451,-65.7125,-9.4,77,1,5.75,clear sky
223,Banda Aceh,ID,5.5577,95.3222,82.0,74,99,16.69,overcast clouds
224,Luena,AO,-11.7833,19.9167,61.86,95,97,1.12,overcast clouds
225,Pokrovskoye,RU,47.4157,38.8971,37.99,75,100,15.99,overcast clouds
226,Chuy,UY,-33.6971,-53.4616,67.73,92,4,1.74,clear sky
227,Balad,IQ,34.0164,44.1453,48.74,76,0,5.3,clear sky
228,Sitka,US,57.0531,-135.33,39.2,48,90,16.11,light snow
229,Zhongxing,CN,33.7039,118.6792,48.79,51,30,6.93,scattered clouds
230,Manuk Mangkaw,PH,4.8,119.85,81.1,79,60,11.52,broken clouds
231,Constitucion,CL,-35.3333,-72.4167,61.45,95,100,8.1,overcast clouds
232,Nebolchi,RU,59.1239,33.3454,23.47,97,88,7.61,overcast clouds
233,Sibolga,ID,1.7427,98.7792,80.69,74,100,2.82,overcast clouds
234,Tosno,RU,59.54,30.8775,30.2,93,90,8.95,light snow
235,Zaysan,KZ,47.4667,84.8667,0.73,89,85,0.63,overcast clouds
236,Cayenne,GF,4.9333,-52.3333,75.2,100,75,2.3,broken clouds
237,Rio Claro,BR,-22.4114,-47.5614,77.0,83,0,1.14,clear sky
238,Gizo,SB,-8.103,156.8419,86.43,72,94,15.39,light rain
239,Sur,OM,22.5667,59.5289,62.71,50,0,6.22,clear sky
240,Panama City,PA,8.9936,-79.5197,77.0,78,87,6.91,overcast clouds
241,Progreso,MX,21.2833,-89.6667,70.0,68,1,6.91,clear sky
242,Mount Gambier,AU,-37.8333,140.7667,66.2,68,90,10.36,overcast clouds
243,Makakilo City,US,21.3469,-158.0858,78.8,57,1,10.36,clear sky
244,Ambanja,MG,-13.6833,48.45,74.73,87,96,2.48,overcast clouds
245,Miracema Do Tocantins,BR,-9.5618,-48.3967,74.73,87,100,1.05,moderate rain
246,Skibbereen,IE,51.55,-9.2667,42.8,100,75,29.93,broken clouds
247,Rawson,AR,-43.3002,-65.1023,57.38,53,0,12.59,clear sky
248,Castro,BR,-24.7911,-50.0119,62.65,96,100,3.78,light rain
249,Nieves,PH,15.3274,120.9485,78.8,57,75,9.22,broken clouds
250,Provideniya,RU,64.3833,-173.3,-7.46,81,3,4.32,clear sky
251,Bikaner,IN,28.0167,73.3,55.94,31,0,5.84,clear sky
252,Lorengau,PG,-2.0226,147.2712,84.83,75,100,9.98,overcast clouds
253,Port Hawkesbury,CA,45.6169,-61.3485,27.0,74,40,11.5,scattered clouds
254,Coari,BR,-4.085,-63.1414,73.96,95,100,2.35,moderate rain
255,Grindavik,IS,63.8424,-22.4338,33.8,86,75,4.61,broken clouds
256,Sola,VU,-13.8833,167.55,79.72,86,100,9.69,overcast clouds
257,Nome,US,64.5011,-165.4064,-2.2,60,1,21.85,clear sky
258,Yerbogachen,RU,61.2767,108.0108,-40.47,79,52,7.16,broken clouds
259,Denpasar,ID,-8.65,115.2167,84.2,79,40,10.36,scattered clouds
260,Cururupu,BR,-1.8283,-44.8683,77.09,87,93,4.05,overcast clouds
261,Sabzevar,IR,36.2126,57.6819,44.37,53,8,2.06,clear sky
262,Hasaki,JP,35.7333,140.8333,45.0,24,20,18.41,few clouds
263,Vila Velha,BR,-20.3297,-40.2925,78.8,78,75,6.91,broken clouds
264,Port Macquarie,AU,-31.4333,152.9167,82.0,70,97,1.01,overcast clouds
265,Bereda,ES,43.2686,-7.5406,48.99,96,67,10.0,broken clouds
266,Nizhniy Kuranakh,RU,58.8353,125.4869,-30.24,80,100,1.28,overcast clouds
267,Bambous Virieux,MU,-20.3428,57.7575,82.0,89,40,8.05,scattered clouds
268,Bethel,US,41.3712,-73.414,14.0,52,1,5.75,clear sky
269,Safaga,EG,26.7292,33.9365,53.6,50,0,10.36,clear sky
270,Mongu,ZM,-15.2484,23.1274,67.66,93,100,4.14,light rain
271,Vao,NC,-22.6667,167.4833,76.35,74,41,20.15,scattered clouds
272,Hambantota,LK,6.1241,81.1185,75.2,100,20,4.61,few clouds
273,Udachnyy,RU,66.4167,112.4,-35.63,80,100,5.1,overcast clouds
274,Moses Lake,US,47.1301,-119.2781,39.2,87,90,4.61,overcast clouds
275,Tadine,NC,-21.55,167.8833,79.7,67,21,16.6,few clouds
276,Qasigiannguit,GL,68.8193,-51.1922,-0.4,55,0,8.05,clear sky
277,Aripuana,BR,-9.1667,-60.6333,73.6,97,100,1.66,overcast clouds
278,Ligourion,GR,37.6167,23.0333,51.01,87,20,3.89,few clouds
279,Berlevag,NO,70.8578,29.0864,24.69,95,100,16.51,light snow
280,Buala,SB,-8.145,159.5921,85.55,73,98,13.02,light rain
281,Tazovskiy,RU,67.4667,78.7,-37.89,79,0,4.27,clear sky
282,The Pas,CA,53.8251,-101.2541,10.4,85,90,10.36,light snow
283,Craig,US,40.5153,-107.5464,33.8,74,40,3.44,scattered clouds
284,Vostok,RU,46.4856,135.8833,-5.39,87,99,4.09,overcast clouds
285,Bouza,NE,14.4229,6.0428,63.28,26,2,13.82,clear sky
286,Fortuna,US,40.5982,-124.1573,48.0,76,90,9.22,overcast clouds
287,Fare,PF,-16.7,-151.0167,80.82,66,86,2.57,light rain
288,Avarua,CK,-21.2078,-159.775,84.2,74,20,5.75,light rain
289,Kijang,KR,35.2442,129.2139,37.4,32,0,3.44,clear sky
290,Ostrovnoy,RU,68.0531,39.5131,8.42,94,100,16.93,light snow
291,Oxchuc,MX,16.85,-92.4167,52.41,100,69,3.53,broken clouds
292,Hualmay,PE,-11.0964,-77.6139,71.33,74,73,6.91,broken clouds
293,Rocha,UY,-34.4833,-54.3333,65.61,88,4,3.65,clear sky
294,Raudeberg,NO,61.9875,5.1352,33.01,90,69,24.02,light snow
295,Xuddur,SO,4.1213,43.8894,62.22,88,0,15.7,clear sky
296,Port Augusta,AU,-32.5,137.7667,82.99,50,7,17.27,clear sky
297,College,US,64.8569,-147.8028,1.0,70,40,3.36,scattered clouds
298,Agirish,RU,61.9247,63.0231,-15.81,88,100,7.99,overcast clouds
299,Andenes,NO,69.3143,16.1194,23.0,74,90,10.36,overcast clouds
300,Kutum,SD,14.2,24.6667,50.47,42,0,10.49,clear sky
301,Alice Springs,AU,-23.7,133.8833,93.99,38,66,14.97,broken clouds
302,Coquimbo,CL,-29.9533,-71.3436,62.6,82,20,5.75,few clouds
303,Itaituba,BR,-4.2761,-55.9836,74.16,96,100,0.47,overcast clouds
304,Sharjah,AE,25.3573,55.4033,66.0,72,0,6.91,clear sky
305,Tasiilaq,GL,65.6145,-37.6368,15.8,53,90,21.85,overcast clouds
306,Saskylakh,RU,71.9167,114.0833,-38.6,76,0,2.42,clear sky
307,Kaili,ID,-3.4626,120.2147,77.49,81,100,2.33,overcast clouds
308,Farmington,US,36.7281,-108.2187,44.6,39,90,16.11,overcast clouds
309,Port Hardy,CA,50.6996,-127.4199,42.8,87,90,17.27,light rain
310,Kahului,US,20.8947,-156.47,75.2,69,40,19.57,scattered clouds
311,Port Elizabeth,ZA,-33.918,25.5701,57.2,88,0,4.61,clear sky
312,Itacare,BR,-14.2775,-38.9967,80.6,78,75,9.22,broken clouds
313,Cabo San Lucas,MX,22.8909,-109.9124,69.01,82,1,4.61,clear sky
314,Guerrero Negro,MX,27.9769,-114.0611,60.28,75,4,15.5,clear sky
315,Katsuura,JP,35.1333,140.3,46.4,31,20,14.97,few clouds
316,Qinhuangdao,CN,39.9317,119.5883,28.69,79,0,14.03,clear sky
317,Elverum,NO,60.8819,11.5623,8.01,90,19,2.73,few clouds
318,Crnomelj,SI,45.5711,15.1889,48.2,93,53,5.75,mist
319,Savannah Bight,HN,16.45,-85.85,77.72,79,34,12.75,scattered clouds
320,Manokwari,ID,-0.8667,134.0833,83.1,64,89,2.86,overcast clouds
321,Mirnyy,RU,62.5353,113.9611,-44.09,78,81,3.2,broken clouds
322,Herat,AF,34.5,62.0,35.6,32,0,2.3,clear sky
323,Oranjemund,NA,-28.55,16.4333,60.13,90,2,14.14,clear sky
324,Jumla,NP,29.2747,82.1838,36.63,47,0,2.01,clear sky
325,Bairiki,KI,1.3292,172.9752,86.0,70,20,11.5,few clouds
